Time,DevPost,Gender,University,Lat,Lng,Graduation,Major,Experience
4/24/2016 21:35:51,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,7
4/24/2016 21:38:44,No,Male,Temple University,39.981067,-75.1578681,2016,Advertising,4
4/24/2016 21:39:32,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/24/2016 21:39:59,No,Male,Florida International University,25.7591995,-80.3731296,2019,Computer Engineering,7
4/24/2016 21:40:40,No,Male,University of Michigan,42.2761921,-83.7413068,2018,Computer Science,5
4/24/2016 21:40:52,No,Male,University of Pennsylvania,39.9583587,-75.1953934,2019,Computer Science,7
4/24/2016 21:48:27,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2019,Computer Science,2
4/24/2016 21:50:31,No,Female,Harvard University,42.3803274,-71.1389101,2019,Biomedical Engineering,2
4/24/2016 21:58:03,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,7
4/24/2016 22:18:09,No,Male,Washington University In St. Louis School of Medicine,38.6103023,-90.4125181,2020,Medicine,2
4/24/2016 22:28:29,Yes,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2018,Computer Science,0
4/24/2016 22:30:06,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2018,Computer Engineering,2
4/24/2016 22:41:33,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2018,Computer Science,2
4/24/2016 22:46:34,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Biology,0
4/24/2016 22:59:48,No,Male,University of Chicago,41.7895697,-87.6009148,2018,Computer Science,0
4/24/2016 23:00:02,No,Male,University of Chicago,41.7895697,-87.6009148,2017,Computer Science,0
4/24/2016 23:04:02,Yes,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2019,Computer Science,2
4/24/2016 23:05:20,Yes,Male,University of Chicago,41.7895697,-87.6009148,2019,Computer Science,0
4/24/2016 23:05:54,No,Male,University of Michigan,42.2761921,-83.7413068,2018,Computer Science,3
4/24/2016 23:16:19,No,Female,Vassar College,41.6860472,-73.8973432,2017,Computer Science,4
4/24/2016 23:31:47,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Computer Science,0
4/24/2016 23:35:46,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,1
4/24/2016 23:37:58,No,Male,Mcmaster University,43.2627435,-79.9177828,2017,Biomedical Engineering,2
4/24/2016 23:43:04,No,Male,Qa Apprenticeships,51.5234423,-0.0859334,2017,Computer Science,5
4/24/2016 23:45:59,No,Female,University of Waterloo,43.4692469,-80.5403143,2020,Biomedical Engineering,0
4/25/2016 0:17:57,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2019,Computer Engineering,1
4/25/2016 0:30:54,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,1
4/25/2016 0:34:16,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,1
4/25/2016 0:50:12,No,Male,Cornell University,42.4439614,-76.5018807,2020,Computer Science,6
4/25/2016 0:54:23,No,Male,University of Toronto,43.6607392,-79.3957209,2019,Computer Science,3
4/25/2016 1:16:32,No,Male,University of Pennsylvania,39.9583587,-75.1953934,2019,Computational Biology,3
4/25/2016 1:54:21,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Systems Engineering,0
4/25/2016 2:13:01,No,Male,University of Ontario Institute of Technology,43.9455084,-78.8946325,2019,Computer Science,3
4/25/2016 3:00:45,No,Male,Temple University,39.981067,-75.1578681,2019,Computer Science,7
4/25/2016 3:44:03,No,Male,"University of Maryland, College Park",38.9908487,-76.944141,2017,Information Mangement,2
4/25/2016 4:41:28,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Marketing,2
4/25/2016 5:07:07,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
4/25/2016 5:33:49,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Biology,0
4/25/2016 9:08:43,Yes,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2019,Computer Engineering,2
4/25/2016 14:23:25,No,Male,Harvard University,42.3803274,-71.1389101,2018,Computer Engineering,1
4/25/2016 14:27:36,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
4/25/2016 14:39:43,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2016,Computer Science,3
4/25/2016 15:23:17,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,2
4/25/2016 16:14:39,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2018,Computer Science,2
4/25/2016 16:36:45,No,Non-Binary,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,3
4/25/2016 16:51:14,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Engineering,5
4/25/2016 17:20:32,No,Male,Maharaja Surajmal Institute of Technology,28.6216758,77.0910091,2018,Computer Engineering,7
4/25/2016 17:29:02,No,Male,University of Michigan,42.2761921,-83.7413068,2018,Computer Science,1
4/25/2016 18:04:10,No,Female,Embry-Riddle Aeronautical University,29.1890201,-81.0469642,2018,Aerospace Engineering,7
4/25/2016 18:28:13,No,Male,Uppsala University,59.8585638,17.6389267,2018,Embedded Systems,3
4/25/2016 19:52:01,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Engineering,1
4/25/2016 19:55:09,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,2
4/25/2016 19:55:47,Yes,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,1
4/25/2016 20:35:28,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2016,Computer Engineering,4
4/25/2016 21:53:50,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,1
4/25/2016 22:03:47,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2020,Computer Science,3
4/25/2016 23:36:04,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2017,Computer Science,1
4/26/2016 1:16:49,No,Male,Vanderbilt University,36.1486927,-86.8037597,2019,Computer Science,4
4/26/2016 1:32:31,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2017,Computer Science,0
4/26/2016 1:34:51,No,Male,Vanderbilt University,36.1486927,-86.8037597,2019,Computer Science,7
4/26/2016 2:22:24,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2020,Biomedical Engineering,0
4/26/2016 3:15:38,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Biomedical Engineering,0
4/26/2016 13:07:26,Yes,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
4/26/2016 16:24:21,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,2
4/26/2016 18:18:54,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Engineering,1
4/26/2016 20:49:09,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
4/26/2016 20:54:39,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/26/2016 20:58:30,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/26/2016 21:46:29,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,3
4/26/2016 22:18:18,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/26/2016 22:33:59,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/27/2016 0:35:49,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,3
4/27/2016 1:18:41,Yes,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
4/27/2016 1:28:42,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/27/2016 9:11:05,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/27/2016 14:06:52,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
4/27/2016 17:04:41,No,Male,Vanderbilt University,36.1486927,-86.8037597,2018,Computer Engineering,2
4/27/2016 19:45:51,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/27/2016 19:47:03,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/27/2016 19:47:35,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Engineering,3
4/27/2016 19:49:59,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,English,0
4/27/2016 19:54:56,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Biology,5
4/27/2016 20:13:33,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,2
4/27/2016 20:45:50,No,Male,University of North Carolina At Chapel Hill,35.9131996,-79.0558445,2019,Computer Science,7
4/27/2016 20:54:36,No,Female,Purdue University,40.4282261,-86.9144194,2019,Computer Science,4
4/27/2016 21:20:01,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,2
4/27/2016 21:28:29,Yes,Male,"University of Missouri, Columbia",38.9331391,-92.3738037,2018,Computer Science,5
4/27/2016 21:37:34,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/27/2016 21:56:47,No,Female,Boston University,42.3476181,-71.1002881,2017,Computer Engineering,7
4/27/2016 23:09:42,Yes,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2017,Computer Science,7
4/27/2016 23:21:04,No,Non-Binary,Purdue University,40.4282261,-86.9144194,2017,Computer Engineering,7
4/27/2016 23:51:24,No,Male,University of Oxford,51.7520209,-1.2577263,2018,Computer Science,7
4/28/2016 1:28:58,No,Male,University of Waterloo,43.4692469,-80.5403143,2019,Computer Engineering,2
4/28/2016 4:32:34,No,Male,Purdue University,40.4282261,-86.9144194,2019,Computer Science,6
4/28/2016 5:32:29,No,Male,Mary Institute And St. Louis Country Day School (Micds),38.6582352,-90.3964945,2017,Computer Science,7
4/28/2016 6:48:28,No,Male,"University of Texas, Austin",30.2835151,-97.7348805,2017,Computer Science,5
4/28/2016 7:42:13,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/28/2016 11:06:38,No,Female,University of Science And Technology Houari Boumedienne,36.7112,3.181066,2017,Computer Engineering,0
4/28/2016 13:45:20,No,Male,Princeton University,40.3467174,-74.6568772,2017,Computer Science,4
4/28/2016 15:15:23,No,Female,University of Waterloo,43.4692469,-80.5403143,2021,Computer Science,6
4/28/2016 15:25:11,No,Male,Southern Illinois University Edwardsville,38.7930622,-89.9967072,2017,Computer Science,4
4/28/2016 17:22:11,No,Male,Georgia Tech,33.771288,-84.392056,2019,Computer Science,5
4/28/2016 17:35:53,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/28/2016 17:56:23,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/28/2016 17:57:08,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Physics,1
4/28/2016 18:51:07,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2017,Computer Science,4
4/28/2016 19:17:35,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/28/2016 19:33:15,No,Male,Bloomfield Hills High School,42.5789183,-83.2855279,2020,N/A,4
4/28/2016 19:41:27,No,Female,Carnegie Mellon University,40.4434658,-79.9434567,2017,Computer Science,1
4/28/2016 19:58:06,No,Male,Southern Illinois University Edwardsville,38.7930622,-89.9967072,2017,Computer Science,3
4/28/2016 20:57:16,No,Male,University of North Texas,33.2106588,-97.1472614,2019,Chemistry,3
4/28/2016 21:07:15,No,Male,University of Minnesota,44.9741561,-93.2342,2017,Computer Science,0
4/28/2016 22:42:34,No,Female,University of Minnesota,44.9741561,-93.2342,2018,Computer Science,0
4/28/2016 23:24:47,No,Non-Binary,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/29/2016 1:25:06,No,Male,"University of Missouri, Columbia",38.9331391,-92.3738037,2017,Information Technology,3
4/29/2016 14:32:57,No,Male,Harvard University,42.3803274,-71.1389101,2020,Computer Science,0
4/29/2016 15:59:54,Yes,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
4/29/2016 18:42:35,No,Female,"University of California, Berkeley",37.8715926,-122.272747,2018,Computer Engineering,4
4/29/2016 18:59:24,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,2
4/29/2016 19:31:37,No,Female,Missouri University of Science & Technology,37.9551651,-91.7714605,2017,Computer Science,0
4/29/2016 20:10:48,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
4/29/2016 22:53:56,No,Female,Missouri University of Science & Technology,37.9551651,-91.7714605,2018,Computer Science,4
4/30/2016 0:54:19,No,Non-Binary,Kent State University,41.1471325,-81.3476721,2015,Computer Design Animation And Game Design,7
4/30/2016 2:42:19,No,Female,"University of Missouri, Saint Louis",38.7101379,-90.3111075,2018,Computer Science,0
4/30/2016 3:46:26,No,Female,"University of Louisiana, Monroe",32.5286427,-92.0724893,2020,Computer Science,0
4/30/2016 4:37:42,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Biology,0
4/30/2016 7:57:55,No,Female,"University of California, Berkeley",37.8715926,-122.272747,2018,Computer Science,3
4/30/2016 17:18:04,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Global Health And The Environment,0
4/30/2016 17:23:41,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Biology,0
5/1/2016 0:12:04,No,Male,University of Chicago,41.7895697,-87.6009148,2019,Math,2
5/1/2016 4:02:04,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2016,Computer Science,7
5/2/2016 8:39:08,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2018,Computer Science,2
5/2/2016 11:46:27,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Engineering,6
5/3/2016 0:51:53,No,Male,Wellesley High School,42.302802,-71.279079,2017,N/A,3
5/3/2016 1:47:33,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2017,Computer Science,0
5/3/2016 15:34:36,Yes,Male,Northwestern University,42.0505569,-87.6797281,2019,Math,3
5/3/2016 18:31:44,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Biomedical Engineering,0
5/3/2016 20:14:36,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,"Law (Jd Candidate, Class Of 2019)",0
5/4/2016 4:36:28,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,"Finance, Economics And Strategy",0
5/4/2016 5:44:28,No,Female,Harvard University,42.3803274,-71.1389101,2019,Biomedical Engineering,2
5/4/2016 9:14:21,No,Male,"University of Texas, Dallas",32.9783111,-96.7484539,2017,Computer Science,7
5/4/2016 15:53:42,No,Male,"University of Texas, Austin",30.2835151,-97.7348805,2017,Computer Science,0
5/4/2016 19:09:48,No,Male,Missouri University of Science & Technology,37.9551651,-91.7714605,2019,Computer Science,0
5/4/2016 20:14:38,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,0
5/6/2016 22:27:58,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2017,Physics,0
5/8/2016 4:06:28,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Urban Studies,0
5/8/2016 4:25:23,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Art History And Leadership And Strategic Management,2
5/12/2016 0:38:32,No,Male,Harvard University,42.3803274,-71.1389101,2019,Computer Science,7
5/12/2016 0:43:05,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2018,Computer Science,3
5/12/2016 0:46:04,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2018,Computer Engineering,1
5/12/2016 0:57:52,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2018,Electrical Engineering And Computer Science,0
5/14/2016 17:47:34,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Engineering,0
5/17/2016 1:43:26,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
5/17/2016 21:00:11,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Chemistry,0
5/20/2016 0:48:48,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Psychology And Computer Science,0
5/20/2016 16:55:00,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Electrical Engineering And Computer Science,0
5/21/2016 1:41:50,No,Male,"University of California, Berkeley",37.8715926,-122.272747,2017,Computer Science,2
5/21/2016 17:41:34,No,Male,Union County College,40.6677,-74.3202,2018,Computer Science,4
5/22/2016 22:56:42,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2017,Biology,2
5/29/2016 23:24:54,No,Male,Cornell University,42.4439614,-76.5018807,2020,Math,1
5/31/2016 2:36:51,No,Male,Mcmaster University,43.2627435,-79.9177828,2018,Computer Engineering,5
6/1/2016 4:42:14,No,Male,Stevens Institute of Technology,40.7469277,-74.0258209,2019,Computer Science,0
6/1/2016 19:38:49,No,Male,The George Washington University,38.9009637,-77.0476606,2017,Computer Science,2
6/3/2016 23:10:54,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2020,Computer Science & English- Creative Writing,0
6/4/2016 0:52:20,No,Male,University of Southern California,34.0522342,-118.2436849,2017,Computer Science,5
6/5/2016 15:42:06,No,Male,Georgia State University,33.75,-84.4,2017,Computer Science,7
6/8/2016 17:48:36,No,Male,University of Chicago,41.7895697,-87.6009148,2021,Computer Science,0
6/10/2016 1:36:29,No,Male,University of Virginia,38.0293059,-78.4766781,2018,Computer Science,3
6/10/2016 18:16:21,No,Male,Carnegie Mellon University,40.4434658,-79.9434567,2018,Statistics And Machine Learning,0
6/12/2016 1:20:31,No,Female,University of Waterloo,43.4692469,-80.5403143,2017,Systems Engineering,7
6/12/2016 6:20:44,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Undeclared,1
6/13/2016 1:29:17,No,Male,Binghamton University,42.0932729,-75.9721009,2018,Computer Science,4
6/13/2016 3:02:22,No,Male,Shoubra Faculty of Engineering,30.0806118,31.2443623,2017,Computer Engineering,0
6/14/2016 1:50:03,No,Female,University of Southern California,34.0522342,-118.2436849,2019,Computer Science,2
6/14/2016 5:29:42,No,Male,Rhode Island School of Design,41.8258538,-71.4077368,2017,Graphic Design,3
6/14/2016 15:40:44,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Biomedical Engineering,0
6/14/2016 15:45:20,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2019,Economics,1
6/14/2016 15:53:04,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2020,Biomedical Engineering,0
6/14/2016 16:10:14,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2018,Computer Science,2
6/14/2016 16:22:22,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2017,Computer Science,4
6/14/2016 17:29:34,No,Male,Oakland Community College,42.5954202,-83.2447876,2017,Computer Science,7
6/14/2016 17:33:05,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2017,Electrical Engineering,2
6/14/2016 18:25:25,No,Male,Missouri University of Science & Technology,37.9551651,-91.7714605,2019,Computer Engineering,4
6/14/2016 18:49:28,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
6/14/2016 19:10:01,No,Male,University of Waterloo,43.4692469,-80.5403143,2019,Computer Science,2
6/14/2016 19:31:25,No,Male,Missouri University of Science & Technology,37.9551651,-91.7714605,2018,Computer Science,3
6/14/2016 19:39:52,No,Male,Wilkes University,41.2441841,-75.8902139,2018,Computer Science,3
6/14/2016 21:45:40,No,Male,University of Waterloo,43.4692469,-80.5403143,2021,Computer Engineering,2
6/14/2016 21:49:33,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Computer Science,1
6/14/2016 23:14:29,No,Male,Purdue University,40.4282261,-86.9144194,2019,Computer Science,0
6/15/2016 2:08:30,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,1
6/15/2016 4:44:44,No,Male,Purdue University,40.4282261,-86.9144194,2019,Computer Science,6
6/15/2016 13:19:42,Yes,Male,Missouri University of Science & Technology,37.9551651,-91.7714605,2017,Engineering Management,0
6/15/2016 15:28:32,No,Male,Missouri University of Science & Technology,37.9551651,-91.7714605,2017,Computer Science,0
6/15/2016 16:23:34,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,1
6/15/2016 17:10:37,No,Male,Georgia Tech,33.771288,-84.392056,2019,Computer Science,7
6/15/2016 17:18:17,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,1
6/15/2016 17:18:28,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,2
6/15/2016 19:43:07,No,Male,Georgia Tech,33.771288,-84.392056,2018,Systems Engineering,0
6/15/2016 20:45:32,No,Male,Georgia Tech,33.771288,-84.392056,2019,Computer Science,5
6/15/2016 22:20:37,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,2
6/15/2016 23:20:37,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,4
6/15/2016 23:55:36,No,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,1
6/15/2016 23:59:14,No,Male,Georgia Tech,33.771288,-84.392056,2016,Computer Science,5
6/16/2016 0:07:00,No,Male,Georgia Tech,33.771288,-84.392056,2019,Computer Science,4
6/16/2016 0:41:43,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,1
6/16/2016 2:19:07,No,Female,Georgia Tech,33.771288,-84.392056,2019,Computer Science,1
6/16/2016 11:55:21,No,Male,Georgia Tech,33.771288,-84.392056,2019,Mechanical Engineering,5
6/16/2016 16:50:43,Yes,Male,Illinois Institute of Technology,41.8343395,-87.6237866,2017,Computer Science,0
6/16/2016 17:02:02,No,Male,Georgia Tech,33.771288,-84.392056,2019,Computer Science,2
6/16/2016 18:28:18,Yes,Male,Illinois Institute of Technology,41.8343395,-87.6237866,2019,Computer Engineering,1
6/16/2016 18:30:04,No,Male,Illinois Institute of Technology,41.8343395,-87.6237866,2017,Computer Science,5
6/16/2016 21:01:54,Yes,Male,Illinois Institute of Technology,41.8343395,-87.6237866,2017,Electrical Engineering,6
6/16/2016 23:48:29,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Physics,0
6/17/2016 17:12:22,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2019,Computer Science,0
6/17/2016 17:56:57,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2017,Computer Science,1
6/18/2016 0:09:41,Yes,Male,Georgia Tech,33.771288,-84.392056,2018,Computer Science,1
6/18/2016 2:44:48,Yes,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Philosophy/Neuroscience/Psychology & Computer Science,0
6/18/2016 7:05:08,No,Female,Georgia Tech,33.771288,-84.392056,2018,Computer Science,0
6/18/2016 19:08:25,Yes,Female,Illinois Institute of Technology,41.8343395,-87.6237866,2017,Computer Science,0
6/18/2016 22:53:56,Yes,Male,Northwestern University,42.0505569,-87.6797281,2018,Dual Degree: Industrial Engineering / Manufacturing And Design Engineering,2
6/19/2016 2:36:12,No,Male,"University of Illinois, Urbana-Champaign",40.1164204,-88.2433829,2020,Computer Science,0
6/19/2016 4:10:37,No,Male,Indiana University,39.1661123,-86.5265247,2017,Computer Science,1
6/19/2016 14:21:12,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2020,Systems Engineering,0
6/19/2016 16:09:46,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Systems Engineering,0
6/19/2016 21:01:58,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Electrical Engineering,0
6/20/2016 2:21:44,No,Male,Washington University in St. Louis,38.6470653,-90.3026346,2020,Mechanical Engineering,0
6/20/2016 3:08:06,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2018,Computer Science,0
6/20/2016 4:22:11,No,Female,Washington University in St. Louis,38.6470653,-90.3026346,2020,Biomedical Engineering,0
6/20/2016 23:41:04,No,Male,Launchcode - Java Wusm Campus,38.6105426,-90.3371889,2016,Computer Science,0
6/21/2016 2:19:53,No,Male,University of Ontario Institute of Technology,43.9455084,-78.8946325,2019,Mechanical Engineering,2
6/21/2016 2:28:25,No,Male,"University of Missouri, Kansas City",39.0336695,-94.5762777,2018,Law,2
6/21/2016 17:32:36,No,Female,University of British Columbia,49.2613118,-123.2537831,2017,Computer Science,1
6/21/2016 17:50:27,No,Female,University of British Columbia,49.2613118,-123.2537831,2018,Microbiology & Immunology And Computer Science,0
6/21/2016 18:46:34,No,Male,University of British Columbia,49.2613118,-123.2537831,2018,Behavioural Neuroscience And Physiology,1
6/21/2016 19:30:44,No,Male,Indiana University,39.1661123,-86.5265247,2018,Computer Science,0
6/21/2016 19:36:09,No,Male,Vincent Massey Secondary School,42.260281,-83.027893,2017,High School,3
6/21/2016 20:16:10,No,Male,Indiana University,39.1661123,-86.5265247,2018,Computer Science,0
6/21/2016 21:55:43,No,Male,Indiana University,39.1661123,-86.5265247,2017,Informatics,0
